,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Skill Moves,Position,Joined,Contract Valid Until,Height,Weight,Release Clause
0,1179,G. Buffon,40,Italy,88,88,Paris Saint-Germain,4000.0,77,Right,4.0,1.0,GK,2018,01/01/2019,6.333333333,203.0,7400.0
2,8205,Braga,35,Portugal,70,70,CD Aves,750.0,5,Right,1.0,3.0,LCM,2017,01/01/2019,5.916666667,165.0,1600.0
3,9014,A. Robben,34,Netherlands,84,84,FC Bayern München,15500.0,110,Left,4.0,4.0,RM,2009,01/01/2019,5.916666667,176.0,25600.0
4,19521,J. Ibehre,35,England,61,61,Cambridge United,120.0,2,Right,1.0,2.0,ST,2017,01/01/2019,6.333333333,203.0,210.0
5,20209,Ricardo Costa,37,Portugal,74,74,CD Tondela,750.0,4,Right,2.0,2.0,LCB,2017,01/01/2019,6.0,181.0,1600.0
6,20801,Cristiano Ronaldo,33,Portugal,94,94,Juventus,77000.0,405,Right,5.0,5.0,ST,2018,01/01/2022,6.166666667,183.0,127100.0
8,27532,D. de Vries,37,Netherlands,66,66,Celtic,40.0,7,Right,1.0,1.0,GK,2016,01/01/2019,6.25,212.0,72.0
9,45083,S. von Bergen,35,Switzerland,73,73,BSC Young Boys,950.0,12,Right,2.0,2.0,LCB,2013,01/01/2022,6.0,174.0,1400.0
10,46175,M. Rosenberg,35,Sweden,73,73,Malmö FF,1800.0,6,Right,1.0,3.0,RS,2014,01/01/2020,6.0,179.0,2400.0
11,47201,S. Proto,35,Belgium,76,76,Lazio,1800.0,20,Right,2.0,1.0,GK,2018,01/01/2021,6.0,163.0,3100.0
13,52498,M. Lehmann,35,Germany,72,72,1. FC Köln,725.0,10,Right,2.0,2.0,CDM,2012,01/01/2019,5.833333333,165.0,1100.0
14,52679,J. Murphy,36,Republic of Ireland,62,62,Bury,40.0,1,Left,1.0,1.0,GK,2017,01/01/2019,6.166666667,194.0,70.0
15,53110,C. Gordon,35,Scotland,74,74,Celtic,1300.0,20,Left,2.0,1.0,GK,2014,01/01/2020,6.333333333,183.0,2400.0
17,53363,A. Collin,33,England,62,62,Carlisle United,150.0,2,Right,1.0,1.0,GK,2018,01/01/2019,6.25,172.0,263.0
18,53739,L. Grant,35,England,74,74,Manchester United,1300.0,39,Right,1.0,1.0,GK,2018,01/01/2020,6.333333333,183.0,2500.0
20,54008,S. Bywater,37,England,63,63,Burton Albion,20.0,1,Right,1.0,1.0,GK,2016,01/01/2019,6.083333333,179.0,35.0
21,54037,T. Berni,35,Italy,64,64,Inter,110.0,5,Right,1.0,1.0,GK,2017,01/01/2019,6.083333333,176.0,187.0
22,101880,R. Green,38,England,72,72,Chelsea,210.0,28,Right,2.0,1.0,GK,2018,01/01/2019,6.166666667,203.0,389.0
23,102056,S. Padoin,34,Italy,71,71,Cagliari,675.0,18,Right,2.0,3.0,RB,2016,01/01/2019,5.833333333,161.0,1100.0
24,108080,S. Lichtsteiner,34,Switzerland,79,79,Arsenal,3600.0,94,Right,3.0,3.0,RB,2018,01/01/2019,6.0,168.0,6800.0
25,110638,Cifuentes,39,Spain,73,73,Cádiz CF,270.0,4,Right,1.0,1.0,GK,2015,01/01/2019,6.25,172.0,432.0
26,114356,M. Wölfli,35,Switzerland,68,68,BSC Young Boys,210.0,4,Right,1.0,1.0,GK,2000,01/01/2019,6.083333333,194.0,315.0
27,115533,D. Benaglio,34,Switzerland,77,77,AS Monaco,3600.0,44,Right,3.0,1.0,GK,2017,01/01/2020,6.333333333,196.0,6800.0
28,121933,R. Adler,33,Germany,79,79,1. FSV Mainz 05,6500.0,25,Right,2.0,1.0,GK,2017,01/01/2019,6.25,187.0,11700.0
29,134820,S. Brown,33,Scotland,77,77,Celtic,3600.0,47,Right,2.0,3.0,CDM,2007,01/01/2019,5.75,176.0,6500.0
30,135043,A. Lindegaard,34,Denmark,68,68,Burnley,375.0,14,Right,2.0,1.0,GK,2017,01/01/2019,6.333333333,187.0,713.0
31,135507,Fernandinho,33,Brazil,86,86,Manchester City,18000.0,185,Right,3.0,3.0,CDM,2013,01/01/2020,5.833333333,148.0,33300.0
32,135576,Diego Barcelos,33,Brazil,69,69,CD Nacional,650.0,6,Right,1.0,4.0,CAM,2017,01/01/2020,5.583333333,154.0,1400.0
33,135587,N. Mäenpää,33,Finland,69,69,Bristol City,525.0,14,Right,1.0,1.0,GK,2018,01/01/2019,6.25,190.0,998.0
34,135647,P. Calandria,36,Argentina,69,69,CD O'Higgins,375.0,3,Right,1.0,2.0,ST,2012,01/01/2018,6.0,176.0,506.0
35,137186,A. Barzagli,37,Italy,84,84,Juventus,4200.0,95,Right,3.0,2.0,CB,2011,01/01/2019,6.166666667,192.0,6900.0
36,137242,L. Jiménez,34,Chile,72,72,CD Palestino,1600.0,4,Right,2.0,3.0,RW,2018,01/01/2019,6.0,165.0,2100.0
37,137410,D. Gastaldello,35,Italy,71,71,Brescia,550.0,2,Right,2.0,2.0,LCB,2017,01/01/2019,6.083333333,170.0,853.0
38,137708,F. Dick,33,Germany,66,66,1. FC Kaiserslautern,250.0,2,Right,1.0,2.0,RB,2018,01/01/2019,6.0,185.0,363.0
39,138336,B. Holman,34,Australia,69,69,Brisbane Roar,525.0,4,Right,2.0,3.0,CAM,2016,01/01/2019,5.833333333,165.0,656.0
40,138412,J. Milner,32,England,81,81,Liverpool,13500.0,120,Right,2.0,3.0,CM,2015,01/01/2020,5.75,154.0,25700.0
41,138956,G. Chiellini,33,Italy,89,89,Juventus,27000.0,215,Left,4.0,2.0,LCB,2005,01/01/2020,6.166666667,187.0,44600.0
42,138981,Tiago Gomes,31,Portugal,67,67,CD Feirense,500.0,4,Left,1.0,3.0,LB,2017,01/01/2019,5.833333333,159.0,1100.0
43,139062,W. Caballero,36,Argentina,76,76,Chelsea,1000.0,39,Right,2.0,1.0,GK,2017,01/01/2019,6.083333333,179.0,1900.0
44,139533,A. Hutton,33,Scotland,70,70,Aston Villa,675.0,10,Right,2.0,3.0,RB,2011,01/01/2019,6.083333333,161.0,1300.0
45,139720,V. Kompany,32,Belgium,85,85,Manchester City,22000.0,170,Right,4.0,2.0,CB,2008,01/01/2019,6.25,187.0,40700.0
46,139997,D. Srna,36,Croatia,80,80,Cagliari,1700.0,27,Right,3.0,3.0,RB,2018,01/01/2019,5.833333333,172.0,2900.0
47,140082,Rafael,36,Brazil,75,75,Cagliari,900.0,14,Right,2.0,1.0,GK,2016,01/01/2019,6.166666667,176.0,1500.0
49,140293,A. Mirante,34,Italy,80,80,Roma,6000.0,51,Right,2.0,1.0,GK,2018,01/01/2021,6.333333333,174.0,10200.0
50,140420,B. Murphy,35,Republic of Ireland,64,64,Cardiff City,110.0,5,Right,1.0,1.0,GK,2016,01/01/2019,6.0,183.0,220.0
51,140423,J. Buxton,33,England,68,68,Burton Albion,375.0,5,Right,1.0,2.0,CB,2017,01/01/2019,5.916666667,183.0,656.0
52,140424,C. Beardsley,34,England,60,60,Burton Albion,110.0,2,Right,1.0,2.0,ST,2018,01/01/2019,6.0,179.0,193.0
53,140620,R. Klavan,32,Estonia,77,77,Cagliari,5000.0,30,Left,2.0,2.0,CB,2018,01/01/2020,6.166666667,187.0,8500.0
54,142454,Verza,31,Spain,71,71,CF Rayo Majadahonda,1600.0,5,Right,1.0,2.0,RCM,2018,01/01/2019,5.916666667,172.0,2500.0
55,142499,Aitor Sanz,33,Spain,73,73,CD Tenerife,1600.0,8,Right,1.0,3.0,CDM,2013,01/01/2019,5.916666667,157.0,2600.0
